Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
760	-31.3201	-22.7908	-8.52926	0.01	2.710734	-1.839906	0.01445754
770	-29.0003	-23.7958	-5.20451	0.01	1.099322	-2.453362	0.003520773
780	-28.5673	-23.7549	-4.81235	0.01	0.8038276	-2.17711	0.006651053
790	-32.0175	-25.6762	-6.34129	0.01	1.670726	-1.616725	0.02416992
800	-29.4047	-24.1139	-5.29081	0.01	0.4112405	-2.316451	0.004825578
810	-30.1043	-23.2648	-6.83949	0.01	1.903844	-1.892115	0.0128199
820	-28.7616	-23.6841	-5.07753	0.01	1.021617	-2.371318	0.00425287
830	-29.4631	-24.688	-4.77513	0.01	0.7422726	-2.71906	0.001909588
840	-28.7683	-23.5189	-5.24936	0.01	1.125231	-2.299509	0.005017537
850	-30.9948	-22.3596	-8.63517	0.01	2.763181	-2.11221	0.007723072
860	-28.6007	-23.6541	-4.94666	0.01	0.9303488	-2.146366	0.007138945
870	-32.5544	-21.7819	-10.7725	0.01	3.889902	-2.047675	0.008960345
880	-28.615	-23.8514	-4.76363	0.01	0.6782646	-2.24059	0.00574659
890	-28.6752	-23.9119	-4.7633	0.01	0.6854976	-2.147276	0.007123997
900	-28.7011	-23.5087	-5.19236	0.01	1.092186	-2.136007	0.007311277
910	-28.9848	-23.7129	-5.27197	0.01	1.138061	-2.424635	0.003761535
920	-29.7435	-23.9555	-5.78797	0.01	1.406045	-2.566636	0.002712464
930	-31.6779	-26.0582	-5.61969	0.01	0.3572317	-3.076012	0.0008394364
940	-30.2328	-24.2137	-6.01906	0.01	1.518001	-1.793659	0.01608205
950	-28.7454	-23.8584	-4.88701	0.01	0.8813672	-2.053831	0.008834243
960	-28.5596	-23.7325	-4.82716	0.01	0.8217736	-2.282651	0.005216132
970	-28.5521	-23.6724	-4.87974	0.01	0.8748607	-2.23793	0.00578189
980	-29.9415	-24.0241	-5.91737	0.01	1.469078	-2.596284	0.002533473
990	-29.3894	-24.5024	-4.887	0.01	0.5359508	-2.62461	0.002373507
1000	-31.5717	-22.3458	-9.22584	0.01	3.061013	-2.210055	0.006165175
1010	-29.1894	-24.0786	-5.11087	0.01	0.4529908	-2.253044	0.005584135
1020	-28.5738	-23.7818	-4.79204	0.01	0.7748545	-2.180336	0.006601828
1030	-29.3795	-24.3034	-5.07609	0.01	0.4627927	-2.096443	0.008008602
1040	-30.5633	-25.6276	-4.93575	0.01	0.9218777	-2.994079	0.001013728
1050	-29.8349	-25.0532	-4.78164	0.01	0.7563848	-1.842904	0.01435808
1060	-29.5504	-23.8941	-5.65634	0.01	1.340751	-2.536778	0.002905504
1070	-28.9689	-23.3913	-5.57752	0.01	1.300903	-2.066849	0.008573364
1080	-28.6188	-23.7331	-4.8857	0.01	0.8802107	-2.121471	0.007560125
1090	-28.9773	-23.7199	-5.25743	0.01	1.129826	-2.425828	0.003751213
1100	-29.4576	-24.5767	-4.88098	0.01	0.5392417	-2.65302	0.002223208
1110	-31.1191	-25.6017	-5.51737	0.01	0.3719335	-2.9542	0.00111122
1120	-30.6983	-25.4297	-5.26862	0.01	1.136168	-2.955331	0.00110833
1130	-29.9817	-23.184	-6.79763	0.01	1.884287	-2.3567	0.004398449
1140	-31.7885	-22.0952	-9.69324	0.01	3.30364	-2.11429	0.007686166
1150	-30.2902	-25.4631	-4.8271	0.01	0.8217114	-2.946018	0.001132353
1160	-29.6707	-24.8544	-4.81634	0.01	0.5839864	-1.92046	0.01200993
1170	-28.7361	-23.8565	-4.87968	0.01	0.8748052	-2.418868	0.003811815
1180	-28.8314	-23.9734	-4.85792	0.01	0.5529258	-2.297308	0.005043034
1190	-29.3836	-24.6016	-4.78197	0.01	0.6239578	-2.67512	0.002112904
1200	-28.765	-23.9981	-4.7669	0.01	0.6586593	-2.418378	0.003816117
1210	-30.3183	-25.0359	-5.28239	0.01	1.143925	-1.759407	0.01740177
1220	-28.5987	-23.8345	-4.76415	0.01	0.7017396	-2.283439	0.005206679
1230	-29.0927	-24.2456	-4.84708	0.01	0.8434094	-1.954718	0.01109896
1240	-30.043	-22.7687	-7.27433	0.01	2.107497	-2.169084	0.006775103
1250	-33.1005	-21.9799	-11.1206	0.01	4.087282	-2.221873	0.005999664
1260	-30.0638	-23.5244	-6.53945	0.01	1.763643	-2.469423	0.003392943
1270	-28.8306	-24.0116	-4.81906	0.01	0.8122013	-2.47947	0.003315352
1280	-29.0112	-24.1318	-4.87942	0.01	0.8745662	-1.971132	0.0106873
1290	-31.6589	-25.0082	-6.65079	0.01	1.815696	-1.65648	0.02205563
1300	-30.2434	-25.1941	-5.04931	0.01	0.4708696	-1.903394	0.01249126
1310	-30.8798	-22.5773	-8.30255	0.01	2.599385	-2.222852	0.005986157
1320	-28.7119	-23.5004	-5.21151	0.01	1.103413	-2.261979	0.005470428
1330	-31.1193	-25.0582	-6.06101	0.01	0.3071189	-1.981703	0.01043031
1340	-28.8534	-24.0862	-4.76723	0.01	0.6574116	-2.470099	0.003387672
1350	-29.913	-24.352	-5.56105	0.01	0.3654691	-2.134577	0.007335389
1360	-30.1046	-22.7902	-7.31443	0.01	2.126363	-2.201847	0.006282803
1370	-30.2639	-22.9988	-7.26509	0.01	2.103155	-1.917745	0.01208524
1380	-29.7087	-22.995	-6.7137	0.01	1.845085	-2.01462	0.00966896
1390	-28.7262	-23.9629	-4.76329	0.01	0.6885013	-2.408677	0.003902324
1400	-29.0535	-24.0437	-5.00979	0.01	0.4838033	-2.315981	0.004830801
1410	-29.2632	-23.7168	-5.5464	0.01	1.284983	-1.944239	0.01137
1420	-29.9448	-23.8221	-6.12268	0.01	1.567432	-2.543769	0.002859113
1430	-29.135	-23.2083	-5.9267	0.01	1.473583	-2.219988	0.006025764
1440	-29.3722	-23.2464	-6.12579	0.01	1.568911	-2.303491	0.004971742
1450	-28.5603	-23.7001	-4.86011	0.01	0.8564455	-2.275098	0.005307641
1460	-29.7519	-24.9035	-4.84837	0.01	0.5591904	-2.765736	0.001714999
